"","V1","V2","V3"
"1",7108898,490,10985
"2",7108896,139,3135
"3",7108904,727,16288
"4",7108894,609,13647
"5",7108895,535,11991
"6",7108891,874,19588
"7",7108905,1060,23749
"8",7108893,1434,32138
"9",7108889,911,20420
"10",7108886,1033,23142
"11",7108901,636,14253
"12",7108853,728,16309
"13",7108906,444,9966
"14",7108888,1067,23920
"15",7108892,1320,29573
"16",7108900,242,5436
"17",7108902,567,12703
"18",7108855,952,21345
"19",7108861,571,12809
"20",7108903,673,15088
"21",7108842,602,13494
"22",7108873,929,20818
"23",7108837,842,18879
"24",7108834,367,8222
"25",7108836,563,12612
"26",7108856,927,20780
"27",7108831,253,5678
"28",7108835,920,20608
"29",7108833,631,14139
"30",7108841,825,18492
"31",7108841,825,18492
"32",7108829,562,12611
"33",7108828,565,12657
"34",7108838,292,6558
"35",7108863,923,20692
"36",7108839,281,6309
"37",7108832,1623,36359
"38",7108840,330,7413
"39",7108826,367,8229
"40",7108815,807,18096
"41",7108792,857,19210
"42",7108791,168,3784
"43",7108874,911,20415
"44",7108793,476,10669
"45",7108851,225,5040
"46",7108790,302,6787
"47",7108789,212,4763
"48",7108794,327,7331
"49",7108872,542,12148
"50",7108780,550,12341
"51",7108870,526,11799
"52",7108777,433,9713
"53",7108775,803,17994
"54",7108779,1755,39320
"55",7108871,886,19847
"56",7108774,299,6719
"57",7108778,1388,31100
"58",7108772,858,19225
"59",7108784,828,18567
"60",7108770,492,11026
"61",7108785,539,12095
"62",7108769,473,10598
"63",7108759,157,7108759
"64",7108783,500,11221
"65",7108767,499,11187
"66",7108757,609,13658
"67",7108765,910,20399
"68",7108755,973,21809
"69",7108752,543,12174
"70",7108753,1100,24662
"71",7108750,755,16933
"72",7108737,706,15819
"73",7108736,831,18633
"74",7108735,625,14015
"75",7108758,794,17803
"76",7108739,1786,40009
"77",7108729,861,19288
"78",7108723,866,19399
"79",7108732,669,14999
"80",7108721,743,16665
"81",7108722,572,12814
"82",7108734,868,19447
"83",7108733,239,5361
"84",7108720,597,13391
"85",7108719,550,12340
"86",7108717,455,10214
"87",7108718,782,17518
"88",7108725,767,17181
"89",7108700,379,8511
"90",7108714,813,18217
"91",7108699,742,16624
"92",7108712,409,9176
"93",7108703,744,16670
"94",7108696,460,10319
"95",7108713,561,12572
"96",7108698,859,19254
"97",7108711,275,6165
"98",7108705,900,20166
"99",7108724,671,15052
"100",7108694,701,15714
"101",7108693,854,19138
"102",7108702,882,19763
"103",7108716,917,20545
"104",7108692,549,12298
"105",7108726,1129,25292
"106",7108715,898,20132
"107",7108704,700,15695
"108",7108727,556,12464
"109",7108701,310,6965
"110",7108728,1170,26223
"111",7108683,714,16011
"112",7108682,899,20140
"113",7108678,346,7751
"114",7108686,711,15930
"115",7108677,799,17913
"116",7108648,444,9955
"117",7108647,1015,22749
"118",7108649,700,15681
"119",7108650,331,7421
"120",7108646,850,19049
"121",7108764,977,21894
"122",7108641,953,21361
"123",7108635,958,21470
"124",7108762,716,16048
"125",7108636,590,13232
"126",7108761,146,3284
"127",7108637,536,12020
"128",7108625,787,17643
"129",7108626,498,11162
"130",7108638,951,21319
"131",7108629,701,15714
"132",7108599,514,11530
"133",7108639,643,14421
"134",7108593,449,10067
"135",7108627,914,20476
"136",7108615,692,15517
"137",7108606,1586,35541
"138",7108598,961,21538
"139",7108612,736,16491
"140",7108622,3213,71985
"141",7108628,1079,24185
"142",7108614,374,8381
"143",7108590,772,17309
"144",7108607,1398,31326
"145",7108630,719,16118
"146",7108594,1114,24961
"147",7108621,1302,29173
"148",7108595,754,16900
"149",7108591,673,15085
"150",7108586,1001,22443
"151",7108585,863,19346
"152",7108676,543,12182
"153",7108580,1350,30258
"154",7108613,721,16152
"155",7108579,519,11635
"156",7108619,1128,25288
"157",7108617,776,17401
"158",7108610,279,6268
"159",7108576,360,8078
"160",7108611,244,5469
"161",7108577,1115,24983
"162",7108578,850,19049
"163",7108618,582,13052
"164",7108558,906,20307
"165",7108616,227,5104
"166",7108551,761,17048
"167",7108582,565,12662
"168",7108555,1056,23676
